Sum of total_action_taken,,,,,,,,,,
Row Labels,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2011/12/1,Grand Total
E09000001,1492,433,347,587,1944,2579,1566,2255,563,11766
E09000002,2122,1399,3100,2672,1130,1066,440,157,2687,14773
E09000003,1828,890,219,615,130,503,1016,1869,2356,9426
E09000004,627,732,399,262,439,327,205,102,505,3598
E09000005,2232,3189,3926,3980,4366,7483,6632,5891,6713,44412
E09000006,479,653,462,326,228,258,287,211,306,3210
E09000007,5962,8281,4837,4719,4656,12671,26861,40457,5541,113985
E09000008,108,460,712,1707,637,2684,1994,2660,31,10993
E09000009,5679,6543,5521,6067,12688,5471,4620,6791,6727,60107
E09000010,3595,3269,4937,5292,10894,5855,6278,6317,7262,53699
E09000011,7482,13950,17667,6410,2188,1443,933,822,6344,57239
E09000012,1456,10495,8865,9494,5601,11172,1751,1316,2332,52482
E09000013,1719,1719,1632,1868,4857,2982,1700,1352,6944,24773
E09000014,4719,7633,8639,3615,5131,3171,419,576,8817,42720
E09000015,0,0,995,1354,1385,1622,890,553,1053,7852
E09000016,13762,13393,7404,8523,11748,10463,6114,5744,13970,91121
E09000017,4188,3101,0,620,3031,4393,3453,2695,5120,26601
E09000018,1030,994,2190,1865,2242,4334,2862,3253,1234,20004
E09000019,6167,8646,8172,8250,7878,7231,4145,3806,6959,61254
E09000020,5009,6353,6651,6308,9282,10165,6915,6692,4773,62148
E09000021,0,0,0,0,0,3,21,482,0,506
E09000022,0,0,0,0,0,959,1963,1823,598,5343
E09000023,1083,1499,2627,2611,1454,1330,1308,1269,789,13970
E09000024,1299,1305,6985,2542,6056,6299,8862,4737,1279,39364
E09000025,7283,10354,8620,10621,5155,3615,2070,1724,9593,59035
E09000026,6913,4778,6306,4319,2489,5670,0,7560,6114,44149
E09000027,2291,2647,207,2133,3337,2615,2870,1208,2610,19918
E09000028,1194,3776,1889,1476,1937,2255,2936,2654,0,18117
E09000029,201,755,545,146,278,450,995,985,1255,5610
E09000030,4909,18057,17064,17494,14601,13316,12403,6553,3251,107648
E09000031,17049,17176,17361,12290,18459,17036,12943,14355,17182,143851
E09000032,5166,6674,4977,8547,9582,9735,8836,14617,8226,76360
E09000033,6636,6166,6380,3447,3876,7111,5855,5734,8367,53572
Grand Total,123680,165320,159636,140160,157679,166267,140143,157220,149501,1359606
